Fecha,Hora,Demanda,Generación,Pronóstico,PML
17/03/2020,21,6565.17,11715.58,6253.08,673.36
17/03/2020,22,6598.92,11750.08,6206.75,429.3
17/03/2020,23,6565.17,11601.33,6041.58,412.61
18/03/2020,0,6424.42,11726.92,502.25,504.04
18/03/2020,1,6300.5,11395.58,4939.92,383.84
18/03/2020,2,6159.5,11041.75,5247.83,371.02
18/03/2020,3,6074.58,10824.25,5132.33,377.14
18/03/2020,4,6049,10729.33,5069.83,378.63
18/03/2020,5,6031.17,10797.83,5081.5,483.43
18/03/2020,6,6132.17,10856.08,5161.83,511.54
18/03/2020,7,6158.5,11069.58,5353.25,524.27
18/03/2020,8,6349.17,10898.75,5543.25,500.72
18/03/2020,9,6594,11248.92,5751.5,501.52
18/03/2020,10,6686.5,11511.83,5943.17,427.24
18/03/2020,11,6733.42,11670.08,6082.33,391.14
18/03/2020,12,6934,11787.33,6236.25,423.33
18/03/2020,13,7044,11892.83,6356.17,425.93
18/03/2020,14,7076.25,11861.58,6474.17,498.43
18/03/2020,15,7143.83,11894,6539.92,514.23
18/03/2020,16,7109.08,11956.42,6560.58,509.61
18/03/2020,17,6984.67,12135.08,6531.75,347.34
18/03/2020,18,6780.75,12378.42,6386.92,346.21
18/03/2020,19,6771.42,12383.08,6205.33,351.76
18/03/2020,20,6776.25,12242.25,6302.75,351.34
18/03/2020,21,6690.25,12147.42,6251.58,380.54
18/03/2020,22,6764.33,12081.08,6170.83,426.99
18/03/2020,23,6724.5,11738.25,6077.83,439.28
19/03/2020,0,6561.58,11262.33,505.83,554.16
19/03/2020,1,6339.58,11021.17,5423,521.74
19/03/2020,2,6133.5,10922.58,5689.58,407.44
19/03/2020,3,6107.17,11107.42,5517.75,350.25
19/03/2020,4,6060,11095.08,5459.08,379.92
19/03/2020,5,6048.08,11134.33,5464.17,427.85
19/03/2020,6,6088.42,11081.83,5524.17,359.57
19/03/2020,7,6130,11028.5,5645.08,394.18
19/03/2020,8,6505.5,10740.83,5808.08,515.29
19/03/2020,9,6650.83,10920.42,6004.42,463.75
19/03/2020,10,6872.58,11041.58,6186,480.62
19/03/2020,11,7074.17,11492.08,6327.5,437.65
19/03/2020,12,7258.83,11620.42,6436.17,485.9
19/03/2020,13,7433.83,11787.33,6532.08,454.22
19/03/2020,14,7406.83,11810.83,6623.42,390.15
19/03/2020,15,7468.92,11876.5,6701.58,435.06
19/03/2020,16,7530.25,12272.5,6760.25,378.16
19/03/2020,17,7350,12281.25,6737.5,369.12
19/03/2020,18,7206,12536.25,6638.75,395.74
19/03/2020,19,7190.17,12616.92,6470.5,418.96
19/03/2020,20,7148.25,12562.25,6540.33,683.23
19/03/2020,21,7223.83,12343.25,6485.67,593.58
19/03/2020,22,7099.67,12314.25,6412.17,523.78
19/03/2020,23,7078.67,12206.42,6341.83,531.79
20/03/2020,0,6951.5,11868.92,528,348.65
20/03/2020,1,6782.42,11550.92,5847.42,347.32
20/03/2020,2,6632.42,11184.58,6203.92,352.34
20/03/2020,3,6494.08,11056.75,6062.42,352.99
20/03/2020,4,6358.25,10927.5,5942.83,374.55
20/03/2020,5,6275.25,11116.08,5897.25,389.54
20/03/2020,6,6324.67,11461.25,5946.25,415.61
20/03/2020,7,6486.92,11349.08,6039.92,406.64
20/03/2020,8,6661.42,10861.08,6151.58,506.82
20/03/2020,9,6903.25,10801.17,6351.67,352.59
20/03/2020,10,6973.08,11087.92,6530.33,349.8
20/03/2020,11,7071.92,11245.33,6664.17,377.43
20/03/2020,12,6955.5,11140.42,6786.83,404.85
20/03/2020,13,6952.17,11189.42,6907.92,425.59
20/03/2020,14,6895.08,11421,7012.42,398.65
20/03/2020,15,6661.75,11573.42,7109.92,388.02
20/03/2020,16,6620.92,11746.75,7162.92,429.72
20/03/2020,17,6455.33,11742.25,7165.17,382.28
20/03/2020,18,6394.25,11917.17,7049.5,354.91
20/03/2020,19,6398.83,11857.42,6868.5,381.1
20/03/2020,20,6356.83,11658.08,6872.25,383.42
20/03/2020,21,6212,11418.42,6841,451.34
20/03/2020,22,6175,11064.42,6794.67,610.05
20/03/2020,23,6244.25,11051,6736.5,404.15
21/03/2020,0,6084.67,10930.83,561,631.52
21/03/2020,1,5926.58,10777.42,5918,397.75
21/03/2020,2,5726.17,10809.08,6292.67,561.24
21/03/2020,3,5829,10826.83,6136.25,397.46
21/03/2020,4,5624.58,10330.58,6037.92,360.68
21/03/2020,5,5661,10511.67,5998.83,395.68
21/03/2020,6,5643.58,10811.08,6007.92,395.06
21/03/2020,7,5538,10902.58,6060.33,473.64
21/03/2020,8,5671.5,10959.25,6176.83,423.61
21/03/2020,9,5884.92,10905.08,6352.83,349.13
21/03/2020,10,5964.83,10860.33,6501.5,355.23
21/03/2020,11,6042.58,10792.5,6633,373.76
21/03/2020,12,5893.42,10674.75,6744.83,394.69
21/03/2020,13,5872.5,10746.33,6848.42,406.64
21/03/2020,14,5701.17,10452,6914.75,357.69
21/03/2020,15,5598.33,10482.5,6932.83,350.52
21/03/2020,16,5559.5,10546.75,6928.5,384.25
21/03/2020,17,5493.58,10786.08,6896.83,356.4
21/03/2020,18,5334.5,11085.5,6785.83,354.18
21/03/2020,19,5582.75,11408.83,6639.33,364.13
21/03/2020,20,5629.92,11562.75,6595.5,404.55
21/03/2020,21,5554.17,11458.33,6520.67,635.94
21/03/2020,22,5249.92,11090.83,6437,357.38
21/03/2020,23,5102.17,10533.75,6350.25,353.96
22/03/2020,0,4991.08,9955.67,528.58,361.71
22/03/2020,1,4904.58,9173,5545.83,357.93
22/03/2020,2,4707.25,8763.67,5902.42,351.26
22/03/2020,3,4670.75,8754.75,5795.5,342.39
22/03/2020,4,4568.5,8647,5699.92,342.31
22/03/2020,5,4495.08,8662.17,5641.17,341.34
22/03/2020,6,4415.17,8561,5636,341.71
22/03/2020,7,4362.58,8387.92,5624.5,330.33
22/03/2020,8,4418.92,8064.75,5687.08,323.85
22/03/2020,9,4583.17,7856.25,5832.33,309.96
22/03/2020,10,4727.25,7844.5,5967.83,309.25
22/03/2020,11,4882.42,8077,6049.58,308.19
22/03/2020,12,5113.17,8500,6088.08,312.72
22/03/2020,13,5079.92,8708.67,6105.67,302.69
22/03/2020,14,5090.25,8758,6079.5,316.28
22/03/2020,15,5032.5,9398.83,5968.83,312.61
22/03/2020,16,5102.33,9596.17,5872.83,316.4
22/03/2020,17,5081.83,9558.75,5824.17,324.9
22/03/2020,18,5196.33,9814.67,5858.17,370.13
22/03/2020,19,5496.92,10434.92,5881.25,357.69
22/03/2020,20,5581,10523.83,5982.92,399.58
22/03/2020,21,5527.5,10758.58,6024.08,491.66
22/03/2020,22,5515.83,11079.67,5884.92,388.2
22/03/2020,23,5408.42,10514.42,5631.83,364.59
23/03/2020,0,5280.42,9724.92,467.5,325.97
23/03/2020,1,5136.92,9339.75,4478.83,318.73
23/03/2020,2,5015.58,9039.33,4777.83,315.26
23/03/2020,3,5006.25,8887.92,4696.5,318.76
23/03/2020,4,5061.5,8970.25,4620.33,319.02
23/03/2020,5,5125.17,9136.75,4581,324.26
23/03/2020,6,5334.75,9847.33,4575.25,342.48
23/03/2020,7,5611.17,10055.42,4596.08,363.08
23/03/2020,8,5828.92,9700.67,4554,355.84
23/03/2020,9,6154.25,10287.42,4594.92,342.41
23/03/2020,10,6349.67,10684.92,4672.33,337.47
23/03/2020,11,6348.75,10871.83,4765.17,327.72
23/03/2020,12,6443.08,10907.5,4841.75,335.52
23/03/2020,13,6666.33,11115.33,4908.5,336.28
23/03/2020,14,6666.25,11280.42,4950.67,336.13
23/03/2020,15,6705.92,11620.67,4973.25,336.74
23/03/2020,16,6757.08,11581.5,4985.08,357.33
23/03/2020,17,6477.83,11475.33,4975,349.51
23/03/2020,18,6499.83,12005.75,5004.25,356.77
23/03/2020,19,6474.83,12223.42,5125.25,352.26
23/03/2020,20,6456.33,12045.83,5486.17,348.9
23/03/2020,21,6506.33,11821.67,5562.92,346.81
23/03/2020,22,6313.5,11865.42,5552.33,638.31
23/03/2020,23,6400.92,11852.5,5364,348.82
24/03/2020,0,6124.92,11396.92,445.58,533.19
24/03/2020,1,5968.5,11127.33,4483.42,396.59
24/03/2020,2,5774.58,11069.67,4778.25,389.53
24/03/2020,3,5773.83,11138,4686.42,376.19
24/03/2020,4,5677.08,11168.75,4638.67,375.43
24/03/2020,5,5712,11259.42,4652.42,399.13
24/03/2020,6,5770.75,11250,4740.17,487.15
24/03/2020,7,5930.42,11163.67,5011.08,415.3
24/03/2020,8,6185.58,10680.42,5278.83,355.6
24/03/2020,9,6416.67,10668.08,5566.83,360.11
24/03/2020,10,6324.42,10541.5,5783.5,366.41
24/03/2020,11,6620,10446,5971.5,376.46
24/03/2020,12,7016.92,10220.17,6119.92,426.01
24/03/2020,13,7049.08,10019.75,6250.25,404.23
24/03/2020,14,7409,10031.83,6355.42,404.61
24/03/2020,15,7430,10154.17,6442.83,447.57
24/03/2020,16,7475.17,10462.5,6497.67,563.84
24/03/2020,17,7386.08,10879.33,6511.33,381.19
24/03/2020,18,7094.67,11287.58,6438.25,429.63
24/03/2020,19,7015.75,11785.92,6297.17,443.82
24/03/2020,20,7171.33,12284.5,6266.67,417.61
24/03/2020,21,7173.92,12263.92,6169.67,392.07
24/03/2020,22,7151.92,12279.92,6085.83,593.24
24/03/2020,23,7071.25,12283.42,5997.42,636.05
25/03/2020,0,6822.33,12071.42,499.17,495.9
25/03/2020,1,6626.42,11904,5479.83,459.8
25/03/2020,2,6486.92,11756.08,5846.92,464.08
25/03/2020,3,6368.17,11385.25,5723.17,455.19
25/03/2020,4,6293.5,11273.42,5670.5,567.93
25/03/2020,5,6254.08,11233.08,5667.83,574.4
